full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away
Vicente Guaita,34,Premier League,2018/2019,Goalkeeper,Crystal Palace,1755,1035,720,Spain,20,12,8,0,0,0,0,0,0
Vicente Iborra De La Fuente,33,Premier League,2018/2019,Midfielder,Leicester City,226,152,74,Spain,8,3,5,0,0,0,0,0,0
Víctor Camarasa,26,Premier League,2018/2019,Midfielder,Cardiff City,2579,1267,1312,Spain,32,16,16,5,4,1,4,1,3
Victor Moses,30,Premier League,2018/2019,Midfielder,Chelsea,26,17,9,Nigeria,2,1,1,0,0,0,0,0,0
Victor Nilsson Lindelöf,26,Premier League,2018/2019,Defender,Manchester United,2602,1112,1490,Sweden,30,13,17,1,1,0,1,0,1
Victor Wanyama,29,Premier League,2018/2019,Midfielder,Tottenham Hotspur,509,302,207,Kenya,13,9,4,1,1,0,0,0,0
Viktor Gyökeres,22,Premier League,2018/2019,Forward,Brighton & Hove Albion,0,0,0,Sweden,0,0,0,0,0,0,0,0,0
Vincent Janssen,26,Premier League,2018/2019,Forward,Tottenham Hotspur,36,36,0,Netherlands,3,3,0,0,0,0,0,0,0
Vincent Kompany,34,Premier League,2018/2019,Defender,Manchester City,1223,561,662,Belgium,17,8,9,1,1,0,0,0,0
Virgil van Dijk,29,Premier League,2018/2019,Defender,Liverpool,3385,1675,1710,Netherlands,38,19,19,4,2,2,2,1,1
Wayne Hennessey,34,Premier League,2018/2019,Goalkeeper,Crystal Palace,1575,675,900,Wales,18,8,10,0,0,0,0,0,0
Wes Morgan,37,Premier League,2018/2019,Defender,Leicester City,1926,783,1143,Jamaica,22,9,13,3,1,2,0,0,0
Wesley Hoedt,27,Premier League,2018/2019,Defender,Southampton,1170,540,630,Netherlands,13,6,7,0,0,0,0,0,0
Wilfredo Daniel Caballero,39,Premier League,2018/2019,Goalkeeper,Chelsea,180,90,90,Argentina,2,1,1,0,0,0,0,0,0
Wilfried Zaha,28,Premier League,2018/2019,Midfielder,Crystal Palace,3041,1347,1694,Côte d'Ivoire,34,15,19,10,1,9,5,3,2
Will Hughes,25,Premier League,2018/2019,Midfielder,Watford,2436,1251,1185,England,32,16,16,2,1,1,4,2,2
Will Norris,27,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0
Willian,32,Premier League,2018/2019,Forward,Chelsea,2108,833,1275,Brazil,32,15,17,3,2,1,6,3,3
Willy Boly,30,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,1530,1639,France,36,17,19,4,2,2,0,0,0
Xherdan Shaqiri,29,Premier League,2018/2019,Midfielder,Liverpool,1058,538,520,Switzerland,24,12,12,6,5,1,3,0,3
Yann Valery,22,Premier League,2018/2019,Defender,Southampton,1715,1070,645,France,23,13,10,2,1,1,1,1,0
Yerry Fernando Mina González,26,Premier League,2018/2019,Defender,Everton,890,360,530,Colombia,13,6,7,1,0,1,0,0,0
Yoshinori Muto,28,Premier League,2018/2019,Forward,Newcastle United,516,180,336,Japan,17,8,9,1,0,1,0,0,0
Youri Tielemans,23,Premier League,2018/2019,Midfielder,Leicester City,1092,575,517,Belgium,13,7,6,3,2,1,4,2,2
Yves Bissouma,24,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1769,747,1022,Mali,28,13,15,0,0,0,0,0,0
Zechariah Medley,20,Premier League,2018/2019,Defender,Arsenal,0,0,0,England,0,0,0,0,0,0,0,0,0
Zeze Steven Sessegnon,20,Premier League,2018/2019,Defender,Fulham,0,0,0,England,0,0,0,0,0,0,0,0,0
Łukasz Fabiański,35,Premier League,2018/2019,Goalkeeper,West Ham United,3420,1710,1710,Poland,38,19,19,0,0,0,0,0,0
